,Impact,poorPerfection,poornessPercent,goodDesignsElim,totalPerfection,numCorrect,goodPerfection,goodnessPercent,numIncorrect,poorEliminationPercent,poorDesignsElim
rule_A1_B2_Rule_B,-8,True,100,168,False,1830,False,91,2166,0,0
rule_PA1_B1_Rule_I,-3,True,100,60,False,1938,False,96,2058,0,0
rule_B1_P2_Rule_F,-13,False,68,888,False,1734,False,55,2262,41,624
rule_B2andP2_PP2andPS1_Rule_O,10,False,83,118,False,2202,False,94,1794,73,322
rule_A1_B2_Rule_A,-18,False,80,758,False,1634,False,62,2362,34,394
rule_A1_B2_Rule_F,-18,False,80,758,False,1634,False,62,2362,34,394
rule_H1andS1_PB1andPB2_Rule_O,-3,False,95,170,False,1922,False,91,2074,35,94
rule_H1_Rule_M,19,False,13,1337,False,2384,False,33,1612,56,1723
rule_H2_A1_Rule_T,-27,False,68,1175,False,1448,False,41,2548,34,625
rule_B2_H2_Rule_A,-14,False,69,905,False,1700,False,54,2296,40,607
rule_P1_Rule_M,-28,False,51,1524,False,1434,False,23,2562,38,960
rule_A1_B2_Rule_T,-4,False,49,1087,False,1912,False,45,2084,47,1001
rule_B2andH1_PB2andPH1_Rule_O,-12,False,91,414,False,1748,False,79,2248,28,164
rule_P1_Rule_R,1,False,90,143,False,2036,False,92,1960,55,181
rule_B2_H2_Rule_B,-6,True,100,120,False,1878,False,93,2118,0,0
rule_B1_P2_Rule_A,-13,False,68,888,False,1734,False,55,2262,41,624
rule_B1_P2_Rule_B,8,False,89,38,False,2162,False,98,1834,84,202
rule_B2_H2_Rule_F,-14,False,69,905,False,1700,False,54,2296,40,607
rule_H1_P2_Rule_T,20,False,39,806,False,2402,False,59,1594,60,1210
rule_PP2_Rule_R,0,False,100,0,True,1998,False,100,1998,,0
rule_B1_H2_Rule_F,-13,False,68,888,False,1734,False,55,2262,41,624
rule_PP2_Rule_M,-38,False,49,1792,False,1222,False,10,2774,36,1016
rule_B1_H2_Rule_A,-13,False,68,888,False,1734,False,55,2262,41,624
rule_A1_Y_Rule_B,0,False,100,0,True,1998,False,100,1998,,0
rule_B1_H2_Rule_B,-6,True,100,120,False,1878,False,93,2118,0,0
rule_A1_Y_Rule_A,-18,False,80,758,False,1634,False,62,2362,34,394
rule_A1andH1_PA1andPA2_Rule_O,-6,False,93,248,False,1874,False,87,2122,33,124
rule_PA2_B1_Rule_I,-3,True,100,60,False,1938,False,96,2058,0,0
rule_A1_Y_Rule_F,-18,False,80,758,False,1634,False,62,2362,34,394
rule_P2_Rule_NI,51,False,36,241,False,3028,False,87,968,84,1271
rule_H1_P2_Rule_B,3,False,95,23,False,2072,False,98,1924,80,97
rule_H1_P2_Rule_A,-19,False,86,661,False,1612,False,66,2384,29,275
rule_H1_P2_Rule_F,-19,False,86,661,False,1612,False,66,2384,29,275
rule_H2andS1_PP2andPS1_Rule_O,8,False,87,83,False,2160,False,95,1836,74,245
rule_H2andP2_PP1andPP2_Rule_O,9,False,83,146,False,2182,False,92,1814,69,330
rule_LeakyTerminators_Rule_L,0,False,100,0,True,1998,False,100,1998,,0
rule_PIn2_B2_Rule_I,0,False,84,307,False,1996,False,84,2000,49,305
rule_H2_Y_Rule_T,23,False,11,1293,False,2472,False,35,1524,57,1767
rule_PIn2_S1_Rule_I,3,False,91,108,False,2058,False,94,1938,60,168
rule_PB2_Rule_M,8,False,25,1320,False,2166,False,33,1830,52,1488
rule_A1_P2_Rule_A,-18,False,80,758,False,1634,False,62,2362,34,394
rule_A1_P2_Rule_B,6,False,92,16,False,2134,False,99,1862,90,152
rule_S1_H1_Rule_T,-5,False,67,753,False,1896,False,62,2100,46,651
rule_PB2_Rule_R,0,False,100,0,True,1998,False,100,1998,,0
rule_B1_B2_Rule_B,-5,False,94,215,False,1892,False,89,2104,33,109
rule_B1_B2_Rule_A,-13,False,68,888,False,1734,False,55,2262,41,624
rule_A1_P2_Rule_F,-18,False,80,758,False,1634,False,62,2362,34,394
rule_H1andH2_PIn2andPA1_Rule_O,-23,False,82,825,False,1522,False,58,2474,29,349
rule_B1andH1_PS1andPIn1_Rule_O,-20,False,68,1049,False,1580,False,47,2416,37,631
rule_B2andH2_PH1andPP1_Rule_O,-10,False,90,400,False,1790,False,79,2206,32,192
rule_B1_B2_Rule_F,-13,False,68,888,False,1734,False,55,2262,41,624
rule_H1_H2_Rule_A,-19,False,86,661,False,1612,False,66,2384,29,275
rule_H1_H2_Rule_B,-5,False,97,152,False,1892,False,92,2104,23,46
rule_PIn2_Rule_R,0,False,100,0,True,1998,False,100,1998,,0
rule_B1andB2_PP2andPS1_Rule_O,6,False,86,144,False,2118,False,92,1878,64,264
rule_H1_H2_Rule_F,-19,False,86,661,False,1612,False,66,2384,29,275
rule_PIn2_Rule_M,0,False,100,0,True,1998,False,100,1998,,0
rule_A1_P2_Rule_T,9,False,42,949,False,2188,False,52,1808,54,1139
rule_P2andS1_PA2andPB1_Rule_O,14,False,84,4,False,2296,False,99,1700,98,302
rule_P2_B1_Rule_T,8,False,41,991,False,2176,False,50,1820,54,1169
rule_H2_P2_Rule_A,-23,False,88,705,False,1524,False,64,2472,24,231
rule_PIn2_H1_Rule_I,-4,False,92,237,False,1902,False,88,2094,37,141
rule_H2_P2_Rule_B,2,False,95,39,False,2040,False,98,1956,67,81
rule_PA1_Rule_R,0,False,100,0,True,1998,False,100,1998,,0
rule_A1_S1_Rule_T,-7,False,62,880,False,1858,False,55,2138,45,740
rule_H2_P2_Rule_F,-23,False,88,705,False,1524,False,64,2472,24,231
rule_PA1_P1_Rule_I,1,False,97,18,False,2022,False,99,1974,70,42
rule_PA1_Rule_M,8,False,10,1622,False,2174,False,18,1822,52,1798
rule_H2_P2_Rule_T,21,False,38,794,False,2426,False,60,1570,60,1222
rule_H1andP2_PA2andPB1_Rule_O,5,False,88,122,False,2114,False,93,1882,66,238
rule_PA1_S1_Rule_I,0,False,99,1,False,2014,False,99,1982,94,17
rule_P2andY_PB1andPB2_Rule_O,-17,False,49,1360,False,1654,False,31,2342,42,1016
rule_H2andP1_PH1andPP1_Rule_O,-4,False,87,330,False,1916,False,83,2080,42,248
rule_A1_H2_Rule_T,-27,False,68,1175,False,1448,False,41,2548,34,625
rule_P2_H2_Rule_T,21,False,38,794,False,2426,False,60,1570,60,1222
rule_P1_P2_Rule_B,14,False,84,22,False,2278,False,98,1718,93,302
rule_P1_P2_Rule_A,28,False,48,474,False,2562,False,76,1434,68,1038
rule_P1_P2_Rule_F,28,False,48,474,False,2562,False,76,1434,68,1038
rule_Rule_S,0,False,0,1998,False,1998,False,0,1998,50,1998
rule_A1_H2_Rule_F,-18,False,80,758,False,1634,False,62,2362,34,394
rule_A1_Rule_NI,-18,False,80,758,False,1634,False,62,2362,34,394
rule_A1_H2_Rule_B,-4,True,100,84,False,1914,False,95,2082,0,0
rule_PromoterRoadBlocking_Rule_P,0,False,100,0,True,1998,False,100,1998,,0
rule_PA2_Y_Rule_I,-5,False,96,183,False,1890,False,90,2106,29,75
rule_A1andP2_PB2andPH1_Rule_O,2,False,85,239,False,2048,False,88,1948,54,289
rule_B2_Y_Rule_A,-14,False,69,905,False,1700,False,54,2296,40,607
rule_B2_Y_Rule_B,0,False,100,0,True,1998,False,100,1998,,0
rule_P1_P2_Rule_T,25,False,44,611,False,2504,False,69,1492,64,1117
rule_Rule_E,0,False,0,1998,False,1998,False,0,1998,50,1998
rule_A1_H2_Rule_A,-18,False,80,758,False,1634,False,62,2362,34,394
rule_A1_P1_Rule_T,-4,False,49,1086,False,1914,False,45,2082,47,1002
rule_B2_Y_Rule_F,-14,False,69,905,False,1700,False,54,2296,40,607
rule_Y_Rule_NI,0,False,0,1998,False,1998,False,0,1998,50,1998
rule_H1andP1_PA1andPA2_Rule_O,0,False,94,108,False,1998,False,94,1998,50,108
rule_PIn1_B1_Rule_I,-10,False,89,409,False,1792,False,79,2204,33,203
rule_B1_Rule_M,13,False,31,1110,False,2262,False,44,1734,55,1374
rule_PIn2_H2_Rule_I,-5,False,93,243,False,1890,False,87,2106,35,135
rule_P2_A1_Rule_T,9,False,42,949,False,2188,False,52,1808,54,1139
